id,categoria,producto,precio,ingredientes_principales,nivel_picor,alergenos,acompanantes_incluidos,acompanantes_sugeridos,metodo_preparacion,variantes_disponibles,apto_vegetariano,notas_especiales
10,Chicken Sandwiches,Fire Chicken Sandwich (Combo),8.90,,,,,,,,,
9,Chicken Sandwiches,Fire Chicken Sandwich (Single),6.90,,,,,,,,,
8,Chicken Sandwiches,Red Chicken Sandwich (Combo),7.90,,,,,,,,,
7,Chicken Sandwiches,Red Chicken Sandwich (Single),5.90,,,,,,,,,
4,Chicken Tenders,Tenders 3 pzas (Combo),6.50,,,,,,,,,
3,Chicken Tenders,Tenders 3 pzas (Single),4.50,,,,,,,,,
6,Chicken Tenders,Tenders 5 pzas (Combo),8.50,,,,,,,,,
5,Chicken Tenders,Tenders 5 pzas (Single),6.50,,,,,,,,,
355,Extras,Side de Jalapenos,0.75,,,,,,,,,
354,Extras,Side de Pepinillos,0.75,,,,,,,,,
357,Extras,Side de Salsa 4 onzas,1.75,,,,,,,,,
14,Extras,Side de papas fritas,1.50,,,,,,,,,
356,Extras,Side de salsa 2 onzas,1.00,,,,,,,,,
15,Extras,Soda,1.00,,,,,,,,,
11,Red Buckets,Red Bucket Cheese Bacon,6.50,,,,,,,,,
12,Red Buckets,Red Bucket Chicken Lover,7.00,,,,,,,,,
13,Red Buckets,Super Red Bucket Chicken,8.50,,,,,,,,,
1540,Sin categoria,Side Queso Cheddar 2 oz,1.25,,,,,,,,,
1541,Sin categoria,Side Queso Cheddar 4 oz,2.00,,,,,,,,,
